0.72	0.726825	0.72	0.72	0.818294	0.82	0.72	-0.0782885	0
0.73	0.724223	0.73	0.73	0.818944	0.8175	0.73	-0.00876519	0
0.74	0.726124	0.74	0.74	0.818469	0.815	0.74	0.188688	0
0.75	0.740091	0.75	0.75	0.814977	0.8125	0.75	0.484523	1
0.76	0.763302	0.76	0.76	0.809174	0.81	0.76	0.795065	1
0.77	0.784421	0.77	0.77	0.803895	0.8075	0.77	1.02354	1
0.78	0.793214	0.78	0.78	0.801696	0.805	0.78	1.11195	1
0.79	0.789837	0.79	0.79	0.802541	0.8025	0.79	1.07229	1
0.8	0.785487	0.8	0.8	0.803628	0.8	0.8	0.977312	1
0.81	0.793193	0.81	0.81	0.801702	0.7975	0.81	0.915604	1
0.82	0.816189	0.82	0.82	0.795953	0.795	0.82	0.937682	1
0.83	0.844058	0.83	0.83	0.788985	0.7925	0.83	1.02555	1
0.84	0.860833	0.84	0.84	0.784792	0.79	0.84	1.10386	1
0.85	0.858937	0.85	0.85	0.785266	0.7875	0.85	1.08562	1
0.86	0.847091	0.86	0.86	0.788227	0.785	0.86	0.92497	1
0.87	0.844378	0.87	0.87	0.788906	0.7825	0.87	0.645788	1
0.88	0.864139	0.88	0.88	0.783965	0.78	0.88	0.330054	0
0.89	0.900814	0.89	0.89	0.774797	0.7775	0.89	0.0740467	0
0.9	0.931976	0.9	0.9	0.767006	0.775	0.9	-0.0610603	0
0.91	0.936079	0.91	0.91	0.76598	0.7725	0.91	-0.0757176	0
0.92	0.912708	0.92	0.92	0.771823	0.77	0.92	-0.0222805	0
0.93	0.887794	0.93	0.93	0.778051	0.7675	0.93	0.0319647	0
0.94	0.896154	0.94	0.94	0.775961	0.765	0.94	0.0444846	0
0.95	0.951472	0.95	0.95	0.762132	0.7625	0.95	0.0158376	0
0.96	1.02585	0.96	0.96	0.743538	0.76	0.96	-0.0218917	0
0.97	1.0571	0.97	0.97	0.735726	0.7575	0.97	-0.0352056	0
0.98	0.983357	0.98	0.98	0.754161	0.755	0.98	-0.0153097	0
0.99	0.784125	0.99	0.99	0.803969	0.7525	0.99	0.0176588	0
1	0.499984	1	1	0.875004	0.75	1	0.0334104	0
